shop_id,2016/10/25  view,2016/10/26  view,2016/10/27  view,2016/10/28  view,2016/10/29  view,2016/10/30  view,2016/10/31  view
91,1,1,2,2,4,1,1
92,10,10,8,5,15,11,13
93,2,6,1,3,4,1,2
94,3,6,6,4,4,4,1
95,17,17,16,34,30,20,62
96,7,3,2,5,10,12,5
97,1,6,2,4,5,8,6
98,7,3,2,2,3,2,2
99,9,4,8,7,8,6,8
100,17,26,14,15,13,14,55
101,14,21,18,13,19,27,19
102,2,1,4,3,6,0,1
103,1,1,2,1,1,4,7
104,2,11,9,6,20,15,12
105,9,14,8,22,28,18,16
106,1,1,0,3,0,0,2
107,0,2,1,4,4,2,2
108,7,5,6,8,3,6,5
109,1,1,2,0,0,0,0
110,0,0,0,1,0,0,0
111,2,7,5,2,8,0,4
112,6,7,1,4,7,5,6
113,0,0,0,1,1,3,2
114,32,28,31,31,19,21,30
115,3,8,10,5,12,5,13
116,2,2,0,1,6,0,2
117,61,42,64,55,94,81,43
118,1,1,0,0,0,0,0
119,16,22,16,15,22,21,27
120,2,4,1,4,4,2,3
121,69,62,22,23,35,49,21
122,3,2,2,3,1,10,6
123,3,4,4,3,1,2,8
124,8,8,12,5,11,14,6
125,0,3,7,4,2,6,15
126,3,4,4,4,3,8,8
127,3,7,8,8,6,8,8
128,45,48,62,46,68,54,43
129,10,9,15,11,28,29,25
130,10,5,11,12,6,11,7
131,2,2,1,2,5,8,2
132,14,15,12,24,20,32,13
133,4,9,10,10,12,5,6
134,9,11,9,3,10,20,16
135,7,5,8,4,8,3,2
136,20,12,27,26,21,17,47
137,2,6,4,7,11,7,5
138,46,72,134,81,54,32,30
139,7,5,11,14,18,11,16
140,1,0,0,0,0,0,0
141,1,1,6,2,3,4,0
142,1,2,0,0,0,2,4
143,7,7,7,2,4,10,9
144,4,4,4,0,3,2,3
145,13,13,9,16,21,10,19
146,20,16,10,15,17,26,19
147,1,5,0,0,0,0,2
148,0,2,0,2,1,1,0
149,46,53,56,51,82,81,62
150,5,5,0,4,3,4,3
151,9,5,5,12,6,8,4
152,19,27,19,25,26,31,27
153,7,7,7,7,17,20,22
154,2,5,8,2,3,3,1
155,27,59,54,21,18,42,22
156,10,2,4,4,9,10,5
157,8,9,7,14,23,13,15
158,5,1,1,5,2,1,0
159,15,13,11,19,38,18,15
160,0,0,2,0,4,1,0
161,5,17,6,9,5,8,5
162,1,0,1,4,1,4,1
163,0,1,3,2,5,3,3
164,1,0,1,2,4,2,0
165,4,4,1,3,4,3,5
166,6,4,7,4,11,9,9
167,12,6,17,8,16,14,14
168,2,0,2,9,0,2,1
169,55,41,35,30,76,61,37
170,8,16,12,13,9,18,15
171,4,15,15,9,10,6,9
172,7,6,8,14,8,12,8
173,7,2,4,4,5,4,2
174,3,1,3,2,2,2,6
175,0,2,3,2,5,4,2
176,3,4,8,5,6,7,8
177,8,7,6,7,21,33,10
178,0,2,0,0,0,1,0
179,28,26,20,23,39,31,28
180,4,4,7,9,11,6,10
181,27,27,33,27,50,76,41
182,11,13,14,20,16,10,13
183,14,11,13,12,5,10,16
184,19,20,29,10,34,42,26
185,3,1,2,3,4,2,11
186,11,7,10,12,14,22,19
187,24,39,22,23,33,15,28
188,10,4,10,8,4,6,3
189,23,19,12,15,22,29,15
190,6,4,9,7,6,12,2
191,10,21,3,8,5,1,11
192,14,10,23,7,34,31,26
193,15,4,9,15,12,15,8
194,2,0,0,0,4,0,7
195,177,170,186,175,318,327,182
196,4,16,4,11,17,18,4
197,3,7,0,2,6,3,9
198,1,3,2,3,2,2,3
199,2,7,0,7,8,8,3
200,18,14,5,10,16,27,14
201,0,1,1,0,1,2,0
202,1,3,3,1,4,7,3
203,11,9,9,14,19,22,16
204,43,62,37,39,30,41,49
205,5,7,8,13,9,0,13
206,29,37,36,12,23,23,25
207,11,7,11,18,28,30,11
208,0,0,2,0,0,5,0
209,6,6,2,5,4,12,7
210,37,30,26,36,44,35,29
211,20,13,8,15,32,25,9
212,26,24,12,18,29,26,23
213,4,2,2,1,0,2,2
214,9,16,16,18,15,33,13
215,6,12,10,3,5,8,3
216,9,1,3,3,7,5,1
217,37,49,62,60,62,42,68
218,1,2,0,1,4,2,1
219,4,1,2,0,5,2,3
220,33,25,24,29,18,20,34
221,11,5,11,10,16,10,5
222,4,12,2,3,2,8,6
223,13,20,20,21,22,23,22
224,2,5,3,3,0,3,3
225,0,0,0,2,1,1,0
226,4,9,4,5,4,10,17
227,7,5,4,1,8,16,18
228,0,1,5,0,0,2,2
229,57,50,26,19,21,23,21
230,3,2,1,0,0,1,7
231,7,12,3,2,0,2,6
232,1,0,3,1,5,10,2
233,6,11,6,7,16,14,4
234,6,14,5,4,12,14,8
235,14,18,6,22,37,22,17
236,36,42,54,51,26,43,27
237,10,12,6,13,9,12,4
238,9,8,26,23,23,23,20
239,45,39,51,45,61,42,56
240,23,22,20,6,8,33,36
241,5,5,5,5,15,6,5
242,9,9,9,8,5,7,11
243,36,24,40,33,37,40,53
244,7,11,22,13,12,19,11
245,8,3,8,4,4,2,8
246,0,1,0,0,0,1,0
247,0,0,0,0,0,0,0
248,0,3,2,5,2,3,2
249,5,10,6,6,1,4,2
250,13,16,17,20,24,40,22
251,3,1,4,2,1,2,0
252,27,49,36,36,27,63,51
253,51,94,509,560,1356,1465,1516
254,4,3,5,5,5,2,10
255,6,4,3,3,6,4,9
256,38,29,37,63,45,64,71
257,1,1,3,5,1,1,0
258,24,28,21,35,48,41,16
259,5,9,6,9,5,6,4
260,6,14,17,10,14,18,12
261,17,22,15,21,32,22,21
262,13,8,13,21,25,36,37
263,0,3,4,1,1,0,3
264,2,4,1,5,4,1,0
265,53,40,54,52,70,67,58
266,5,9,3,7,10,20,9
267,5,4,3,3,10,4,7
268,1,2,2,0,3,2,2
269,3,6,10,4,12,5,2
270,4,12,7,5,6,11,1
271,4,5,6,2,2,6,3
272,9,19,15,7,7,9,15
273,3,7,12,10,14,19,19
274,7,4,7,11,2,8,12
275,9,5,10,7,4,5,4
276,8,11,12,7,15,8,6
277,25,6,34,29,40,64,38
278,39,46,48,38,48,61,53
279,25,31,38,32,34,47,45
280,0,1,5,6,5,3,4
281,13,21,19,22,27,27,12
282,3,1,1,2,2,3,5
283,117,114,404,412,659,590,591
284,3,1,0,1,1,0,0
285,9,7,17,12,12,9,9
286,7,8,3,4,3,5,16
287,29,33,52,30,29,32,43
288,2,0,2,3,1,2,5
289,2,2,3,3,3,8,5
290,1,4,0,3,0,0,0
291,2,3,0,2,2,8,4
292,1,2,0,3,2,1,3
293,5,7,10,20,6,6,16
294,3,10,16,9,12,3,7
295,4,1,7,4,7,2,6
296,25,17,23,22,22,46,30
297,2,8,9,5,1,13,3
298,20,16,27,30,36,56,36
299,26,20,34,24,31,43,34
300,4,5,4,2,6,3,6
301,6,1,0,5,0,2,0
302,1,2,2,1,0,0,4
303,8,2,6,12,17,15,7
304,26,22,30,34,38,38,32
305,27,27,26,20,30,32,31
306,6,5,3,6,6,7,4
307,11,7,11,14,8,15,13
308,4,4,4,1,5,5,2
309,5,9,7,3,3,3,2
310,15,17,17,13,25,30,25
311,4,2,9,8,3,1,7
312,39,44,41,20,37,46,43
313,5,8,5,3,7,7,15
314,1,2,1,1,0,2,2
315,21,13,16,11,29,8,25
316,5,3,1,2,4,7,0
317,1,4,1,2,4,4,3
318,6,14,13,16,23,14,15
319,7,4,8,10,17,12,15
320,36,47,53,49,85,103,53
321,3,11,8,6,3,4,13
322,7,7,11,7,6,7,14
323,8,11,16,11,12,9,3
324,3,4,3,2,3,7,5
325,13,20,14,4,14,27,39
326,210,241,250,254,445,483,460
327,1,1,4,4,1,3,7
328,7,5,6,9,19,9,13
329,0,0,2,1,2,1,1
330,28,17,33,32,81,73,24
331,3,1,1,2,1,2,3
332,18,11,13,16,32,20,26
333,2,4,4,5,7,4,4
334,1,2,1,3,2,0,0
335,91,66,61,83,60,60,105
336,211,275,396,379,521,450,411
337,9,10,16,9,14,11,19
338,14,14,32,31,61,56,32
339,10,11,14,7,17,10,3
340,3,6,3,4,7,5,6
341,12,15,19,15,38,22,20
342,5,5,2,1,4,3,10
343,29,41,29,35,23,28,29
344,39,46,40,35,36,44,33
345,12,14,20,17,20,28,15
346,3,2,1,3,4,1,2
347,32,55,32,40,38,53,39
348,9,18,17,6,14,18,31
349,0,1,0,2,0,0,4
350,0,0,0,0,0,0,0
351,3,6,2,2,7,11,2
352,4,6,5,4,3,2,5
353,3,1,3,0,2,0,0
354,3,1,3,2,3,9,6
355,23,7,8,16,16,15,4
356,28,16,29,28,31,18,27
357,0,0,0,0,0,0,0
358,11,7,9,9,9,9,7
359,11,9,8,5,26,9,10
360,8,11,17,8,51,41,15
361,1,7,4,5,5,0,6
362,7,6,8,8,12,17,16
363,6,3,3,4,4,5,5
364,132,163,165,198,193,223,206
365,15,15,27,16,42,44,17
366,0,0,3,0,1,2,2
367,0,0,0,0,0,0,0
368,0,3,2,0,3,3,1
369,19,36,37,22,31,24,43
370,1,9,4,4,15,12,4
371,3,5,5,6,1,1,2
372,0,0,1,1,1,4,1
373,17,13,14,12,15,20,18
374,0,0,1,0,0,2,0
375,107,77,97,94,127,119,107
376,13,4,5,11,22,29,9
377,1,3,3,6,4,6,6
378,15,23,23,15,19,23,27
379,8,7,7,8,27,11,6
380,37,36,36,28,58,56,27
381,2,1,1,6,1,7,6
382,20,25,37,27,26,40,29
383,2,6,8,7,11,9,10
384,9,12,18,16,18,13,19
385,24,25,12,12,17,20,5
386,4,16,11,16,34,29,9
387,1,2,4,3,4,9,2
388,5,1,9,7,8,10,6
389,1,10,15,8,20,7,18
390,2,0,0,1,7,2,6
391,10,8,7,13,9,9,10
392,11,18,20,0,0,1,0
393,7,8,14,6,11,6,8
394,11,19,14,8,10,13,33
395,9,24,27,14,25,27,30
396,0,2,7,7,7,3,5
397,10,7,28,17,23,19,10
398,2,17,4,7,18,7,12
399,22,12,11,14,20,39,43
400,0,3,0,2,0,0,3
401,4,2,4,7,1,10,2
402,3,7,3,4,4,2,2
403,140,166,142,150,208,240,193
404,22,20,27,29,50,76,25
405,1,0,0,0,0,0,2
406,1,3,4,5,4,2,3
407,11,10,8,11,17,11,13
408,64,59,44,66,80,93,84
409,3,3,4,4,1,1,1
410,1,3,2,1,2,6,2
411,0,0,0,4,0,0,1
412,8,5,10,8,9,2,3
413,4,5,5,0,5,8,9
414,14,12,13,15,16,22,17
415,0,0,3,0,0,0,1
416,36,26,20,35,39,39,28
417,8,4,10,9,5,13,6
418,24,54,24,18,35,20,31
419,8,9,12,11,18,12,14
420,0,0,4,1,1,1,3
421,52,51,39,65,106,103,102
422,8,5,10,3,5,12,7
423,1,1,2,5,8,6,3
424,8,13,16,7,7,4,5
425,70,116,144,128,172,164,168
426,3,19,6,2,8,10,12
427,4,2,2,6,7,4,8
428,9,9,7,18,14,9,13
429,13,4,11,15,16,15,15
430,4,5,5,0,2,4,1
431,51,68,45,40,64,43,63
432,7,7,8,2,11,13,19
433,1,0,0,2,0,0,0
434,8,10,10,8,14,14,14
435,12,16,12,8,26,31,18
436,32,49,40,18,44,69,59
437,6,7,16,7,15,5,17
438,5,6,2,0,0,2,2
439,9,4,9,15,1,17,4
440,0,0,0,3,5,1,2
441,8,13,14,21,21,23,17
442,20,10,10,8,5,11,8
443,1,4,1,2,5,3,0
444,1,2,1,5,1,2,3
445,11,23,15,7,30,17,17
446,14,22,10,14,30,20,28
447,112,137,123,148,94,63,131
448,0,0,0,0,0,0,0
449,4,1,2,1,7,4,2
450,1,0,0,1,0,0,0
451,69,101,131,121,166,130,102
452,0,3,1,1,0,2,0
453,3,3,5,5,0,8,11
454,1,7,3,2,6,5,10
455,6,11,12,10,11,12,17
456,41,52,39,42,27,38,27
457,1,1,1,1,2,2,2
458,8,7,9,13,10,16,9
459,29,38,36,49,64,58,52
460,3,1,1,2,4,8,11
461,7,6,5,5,3,1,7
462,8,6,8,9,19,15,10
463,0,2,0,3,3,0,0
464,8,6,14,3,12,10,7
465,3,3,2,2,13,23,11
466,8,15,15,13,10,15,20
467,33,24,20,20,23,29,24
468,24,27,13,13,27,19,9
469,2,1,1,0,0,3,0
470,0,1,2,2,3,9,1
471,0,7,0,0,3,1,5
472,24,24,29,22,27,46,50
473,0,0,1,1,4,0,2
474,1,2,1,1,0,0,2
475,70,40,69,35,136,29,65
476,2,3,2,1,2,4,3
477,2,3,7,3,14,3,3
478,1,1,1,3,3,3,1
479,2,0,0,3,0,4,0
480,5,6,6,6,3,8,11
481,5,5,0,0,5,3,2
482,14,19,20,19,24,25,25
483,4,3,5,8,3,3,4
484,10,10,12,6,8,7,10
485,1,0,2,3,2,0,2
486,2,1,1,0,1,0,1
487,2,0,3,4,1,1,4
488,0,1,0,2,2,0,3
489,2,1,1,1,0,1,2
490,16,19,9,9,14,22,11
491,3,5,3,4,11,3,4
492,1,4,4,7,4,2,5
493,7,1,1,0,6,4,1
494,15,16,20,15,14,19,20
495,11,10,5,11,17,14,9
496,12,13,12,21,21,22,22
497,30,32,38,28,32,34,43
498,4,2,3,3,1,2,1
499,14,13,24,14,28,29,17
500,86,92,133,95,157,126,100
501,29,26,22,28,14,21,38
502,9,11,16,12,38,27,12
503,13,12,14,8,16,14,6
504,5,0,7,1,2,2,4
505,4,6,4,8,8,4,4
506,11,6,15,11,19,11,11
507,4,1,10,4,42,1,2
508,0,0,1,0,2,0,2
509,31,32,22,55,37,43,48
510,0,1,2,1,1,3,3
511,21,23,19,25,37,31,33
512,7,6,1,2,6,1,3
513,6,10,8,8,6,11,14
514,0,1,2,2,2,2,3
515,5,9,3,2,0,6,11
516,7,4,7,8,5,2,5
517,21,19,25,22,41,74,51
518,5,5,5,2,10,5,4
519,26,12,26,18,15,22,20
520,43,51,61,42,76,61,63
521,9,7,11,4,8,11,16
522,207,208,232,230,314,327,276
523,2,1,1,5,2,3,2
524,2,0,3,1,1,2,0
525,3,3,1,2,2,1,1
526,14,14,14,15,22,34,12
527,5,3,5,5,1,4,7
528,5,19,16,19,26,27,25
529,4,3,5,3,11,4,6
530,5,9,5,4,5,5,7
531,17,9,12,22,33,37,32
532,1,2,2,1,3,3,5
533,1,2,1,4,3,10,3
534,0,0,4,1,2,2,3
535,11,4,5,8,4,26,13
536,0,0,1,0,1,4,1
537,36,35,33,42,43,45,21
538,0,2,0,5,3,1,3
539,12,18,8,11,10,19,31
540,2,5,7,6,5,1,4
541,5,3,2,7,8,5,9
542,1,6,9,5,9,4,5
543,3,1,1,0,2,3,1
544,7,5,12,10,11,21,12
545,6,3,6,5,7,4,3
546,11,17,19,8,29,15,13
547,2,2,4,3,5,0,1
548,7,12,9,7,15,4,6
549,25,29,30,38,55,40,40
550,12,29,34,7,15,10,4
551,8,7,9,6,8,19,17
552,2,6,2,20,18,9,12
553,6,5,6,4,6,5,7
554,95,101,115,107,123,104,539
555,11,17,4,8,2,13,3
556,4,6,3,3,4,4,4
557,6,19,14,17,16,11,16
558,2,1,2,3,3,1,3
559,5,9,9,10,6,7,8
560,28,37,39,43,39,24,31
561,0,0,0,1,1,0,0
562,4,4,2,5,1,1,6
563,8,11,14,16,10,8,17
564,28,35,28,45,73,72,25
565,14,21,22,18,30,37,34
566,6,11,23,12,24,26,19
567,0,0,0,1,1,0,0
568,10,15,22,28,32,43,30
569,1,4,7,1,5,5,4
570,21,33,32,21,36,23,17
571,2,3,3,3,2,3,1
572,6,13,18,10,9,11,5
573,6,2,7,3,2,9,9
574,7,3,1,0,6,10,4
575,3,6,9,4,4,6,8
576,4,5,7,3,6,5,21
577,17,19,29,42,47,51,40
578,0,2,0,1,1,2,1
579,6,1,5,5,4,4,1
580,20,37,53,58,86,103,82
581,0,0,1,0,0,1,0
582,1,1,1,2,10,2,2
583,7,8,6,5,21,16,5
584,17,20,31,55,50,70,45
585,3,3,5,3,7,4,5
586,4,1,5,1,1,5,2
587,3,17,15,16,24,31,20
588,5,7,4,8,18,16,4
589,12,9,8,8,21,20,10
590,3,0,3,1,2,2,0
591,21,8,22,8,22,13,19
592,37,20,15,30,40,43,39
593,8,1,2,6,5,10,4
594,4,8,5,8,12,5,7
595,3,2,5,3,5,3,4
596,16,16,8,7,12,10,5
597,9,5,10,12,9,3,1
598,1,0,2,0,1,0,0
599,0,1,4,0,1,0,8
600,10,3,5,9,5,6,2
601,1,2,6,3,4,4,1
602,0,0,0,0,0,0,0
603,0,0,1,1,4,1,0
604,1,1,4,4,2,7,2
605,3,8,15,5,9,24,17
606,14,22,13,31,37,42,57
607,3,6,5,5,11,4,2
608,1,5,0,1,6,1,10
609,0,1,0,0,0,0,0
610,14,11,9,14,26,24,15
611,2,3,6,3,4,3,1
612,3,7,5,6,5,2,3
613,22,12,19,24,10,29,20
614,51,63,64,77,61,69,92
615,9,18,29,23,32,37,15
616,34,31,29,27,36,42,33
617,2,3,3,4,7,1,4
618,1,0,3,1,1,2,0
619,74,54,42,62,85,86,49
620,4,12,8,9,17,9,22
621,5,5,2,4,2,1,0
622,5,6,9,15,8,33,26
623,15,14,16,4,15,16,19
624,3,4,1,1,2,1,0
625,9,11,6,6,7,8,5
626,5,5,6,3,5,3,1
627,1,0,0,0,2,0,0
628,8,7,14,5,32,18,12
629,4,4,3,6,15,5,9
630,4,4,5,1,7,8,8
631,1,2,2,1,3,1,0
632,1,5,2,0,1,5,0
633,2,3,5,4,4,2,5
634,0,1,0,3,2,0,0
635,0,1,1,1,0,0,2
636,5,9,6,0,6,2,7
637,8,3,4,7,2,5,2
638,16,18,12,8,15,7,16
639,10,12,17,13,12,22,18
640,35,38,68,63,75,67,49
641,0,1,0,0,2,0,0
642,10,3,5,11,13,17,15
643,7,1,4,2,7,4,2
644,8,1,1,1,2,13,4
645,0,3,2,2,2,1,3
646,1,2,2,2,1,2,5
647,96,112,105,135,174,181,168
648,3,1,2,0,1,1,4
649,1,0,1,0,0,1,1
650,6,12,10,5,12,15,4
651,6,9,7,2,17,3,5
652,1,1,3,7,12,14,7
653,0,2,0,0,2,3,2
654,9,8,9,4,10,14,5
655,2,4,4,10,3,6,11
656,5,10,6,10,9,3,3
657,8,13,9,6,12,13,10
658,4,3,7,6,13,12,4
659,7,13,10,5,11,4,11
660,1,0,2,0,3,0,0
661,13,13,27,20,28,40,28
662,0,3,2,2,2,3,8
663,0,6,2,2,0,3,0
664,8,18,9,11,13,22,7
665,36,38,35,32,63,67,38
666,12,11,16,8,11,4,26
667,4,4,14,12,15,12,15
668,9,6,9,12,22,28,19
669,37,46,40,49,59,48,50
670,16,6,16,15,18,23,10
671,23,19,15,13,41,39,43
672,10,9,6,8,13,11,12
673,5,8,3,10,12,13,14
674,11,6,11,4,0,10,9
675,57,67,66,66,74,72,66
676,8,15,18,22,22,32,12
677,6,8,5,7,12,16,14
678,1,1,1,1,1,1,0
679,38,24,24,46,37,51,34
680,9,9,8,5,8,2,8
681,19,12,23,21,23,23,11
682,2,4,2,1,4,7,16
683,8,27,24,21,47,34,21
684,9,18,7,4,9,12,36
685,1,2,6,2,1,1,0
686,8,1,6,4,10,6,11
687,12,7,6,6,22,22,21
688,2,1,1,1,1,3,2
689,7,13,16,6,10,17,12
690,0,1,4,0,2,10,4
691,5,5,5,2,2,4,4
692,21,18,18,16,27,15,30
693,2,1,3,0,1,2,0
694,0,1,0,2,0,2,3
695,74,95,138,116,143,143,97
696,1,3,1,1,0,2,2
697,10,5,10,8,6,10,6
698,1,2,0,2,1,1,0
699,1,4,0,2,3,0,1
700,2,1,1,1,1,0,0
701,5,6,2,4,6,6,5
702,5,9,17,6,21,12,3
703,0,5,3,0,5,2,7
704,7,4,7,4,8,6,4
705,16,24,24,13,35,19,29
706,7,4,4,6,1,8,6
707,0,3,1,3,2,2,3
708,4,10,3,8,13,2,9
709,10,10,9,8,10,21,11
710,11,10,8,6,28,17,19
711,11,10,8,11,9,4,15
712,18,13,22,33,40,40,28
713,7,18,5,19,6,10,10
714,12,9,12,23,27,21,29
715,38,37,45,29,57,57,30
716,2,17,5,2,5,6,4
717,5,10,4,5,2,10,2
718,2,2,7,1,12,3,6
719,4,2,7,13,9,6,8
720,3,0,3,0,1,0,2
721,11,3,5,5,10,8,0
722,5,2,0,1,1,3,7
723,3,2,1,5,2,12,7
724,15,28,18,23,40,16,12
725,5,9,13,12,3,15,11
726,8,5,8,5,7,4,10
727,46,34,39,46,34,46,28
728,3,2,5,4,6,2,1
729,28,29,21,32,35,37,35
730,3,5,12,5,7,2,6
731,12,5,19,18,13,17,9
732,7,7,4,7,11,13,8
733,4,5,3,5,2,4,1
734,16,12,29,13,54,43,29
735,12,40,9,9,11,4,60
736,1,0,0,0,0,3,2
737,38,57,44,40,51,61,80
738,13,12,13,8,20,19,18
739,3,2,1,2,3,4,9
740,8,11,5,9,20,17,17
741,1,0,0,2,5,4,3
742,16,27,20,20,37,32,29
743,0,0,2,1,0,0,1
744,13,12,13,14,31,22,12
745,7,0,1,1,9,1,3
746,33,39,34,34,49,40,22
747,14,20,32,41,35,37,33
748,14,9,13,11,15,18,11
749,1,2,0,0,0,0,0
750,21,21,23,23,32,36,30
751,13,7,11,4,4,7,15
752,6,7,12,14,12,8,12
753,6,9,2,7,6,7,5
754,2,1,2,0,2,1,0
755,15,17,17,16,20,30,24
756,9,10,9,5,22,7,12
757,25,15,20,23,32,18,26
758,0,0,0,1,0,1,0
759,3,4,2,2,2,1,2
760,6,5,1,4,1,3,0
761,8,4,6,5,5,2,9
762,3,2,6,1,4,4,1
763,31,41,26,8,8,13,10
764,4,5,6,9,6,3,5
765,2,4,3,0,5,0,6
766,7,7,6,2,12,7,7
767,50,50,47,47,58,58,58
768,7,5,3,12,2,3,15
769,16,32,17,12,32,34,28
770,2,6,2,0,3,1,2
771,21,21,23,23,19,29,21
772,36,22,73,68,75,63,45
773,14,30,13,25,33,30,33
774,49,51,28,51,68,74,55
775,23,23,20,12,24,22,32
776,14,22,27,12,25,25,21
777,7,2,3,1,6,3,5
778,5,10,2,1,3,3,7
779,12,12,15,10,12,20,18
780,6,1,3,6,1,3,7
781,19,26,34,30,47,32,34
782,27,31,21,21,20,24,17
783,1,3,8,4,2,0,0
784,23,49,27,20,30,30,26
785,3,4,5,9,0,9,4
786,10,10,10,15,12,19,22
787,34,29,26,27,48,36,29
788,4,4,9,4,4,4,7
789,13,5,5,10,14,4,13
790,2,3,4,7,5,6,4
791,32,11,11,8,24,31,6
792,3,0,2,1,4,1,1
793,3,3,2,4,5,5,7
794,3,4,0,3,3,3,0
795,2,0,3,0,3,0,1
796,0,6,2,2,3,4,0
797,25,15,15,24,32,24,17
798,6,9,8,3,2,5,3
799,556,565,1008,955,1080,1053,990
800,2,4,5,2,12,8,5
801,4,3,7,1,4,7,2
802,31,22,26,34,46,46,31
803,0,4,1,1,0,5,1
804,51,28,71,61,81,70,37
805,0,0,1,1,2,3,0
806,4,6,10,7,22,24,17
807,16,31,35,19,26,15,17
808,23,42,31,36,22,43,67
809,2,0,1,0,0,0,1
810,0,1,1,1,1,4,2
811,3,11,5,13,12,11,15
812,7,3,6,10,3,5,2
813,6,7,7,9,3,4,12
814,4,3,4,8,3,2,6
815,2,1,2,3,8,4,4
816,38,41,35,38,71,57,49
817,9,7,9,5,11,9,6
818,2,2,1,2,0,2,0
819,8,15,18,21,18,26,20
820,3,2,1,1,10,9,5
821,1,1,0,2,3,2,1
822,28,21,43,26,46,29,25
823,3,1,0,5,4,4,4
824,5,4,6,7,9,5,5
825,6,3,8,3,7,6,5
826,4,4,17,2,11,4,7
827,2,0,1,0,0,1,0
828,2,8,5,1,3,2,1
829,5,5,6,5,10,10,1
830,7,7,12,10,17,17,19
831,7,7,6,9,11,5,9
832,2,1,0,1,0,0,0
833,4,6,5,10,7,5,10
834,2,5,5,13,9,3,2
835,0,7,8,5,11,2,4
836,12,16,12,15,15,25,21
837,1,6,2,3,6,0,3
838,0,0,1,1,2,0,0
839,50,46,48,68,81,110,104
840,18,13,16,15,15,8,14
841,3,1,2,0,3,6,4
842,7,8,6,5,8,23,15
843,7,11,12,12,17,18,16
844,97,108,60,88,181,167,117
845,3,2,1,3,11,0,2
846,6,6,6,7,9,7,6
847,1,4,2,2,8,3,9
848,12,19,9,12,19,26,15
849,3,3,3,1,5,4,0
850,20,14,8,21,27,27,28
851,3,2,4,1,7,3,1
852,131,115,127,170,275,377,172
853,11,4,5,13,33,17,12
854,15,12,10,14,17,15,25
855,5,9,5,3,6,6,3
856,1,3,1,0,5,0,1
857,26,16,29,36,57,38,37
858,6,2,4,2,9,2,2
859,0,1,2,1,0,8,6
860,3,5,9,4,7,1,8
861,12,5,6,1,21,10,11
862,3,5,11,3,11,12,1
863,2,4,2,2,3,2,0
864,9,23,12,9,20,23,16
865,8,8,8,6,16,20,17
866,0,5,3,1,0,1,4
